Strand Name1, Strand Name2, Start Time(YYYY:MM : DD),Stop Time(YYYY:MM : DD),Duration(sec)
YH1->FX1202->XG9, XG9->FX0806->YH2,2017:05:08:00:09:15, 2017:05:08:00:11:57,162
YH1->FX1301->XG9, XG9->FX0806->YH2,2017:05:08:00:11:57, 2017:05:08:00:15:29,212
YH1->FX0706->XG9, XG9->FX0805->YH2,2017:05:08:00:18:27, 2017:05:08:00:23:35,308
YH1->FX1312->XG9, XG9->FX0805->YH2,2017:05:08:00:23:35, 2017:05:08:00:23:54,19
YH1->FX0705->XG9, XG9->FX0804->YH2,2017:05:08:00:27:46, 2017:05:08:00:32:11,265
YH1->FX1311->XG9, XG9->FX0105->YH2,2017:05:08:00:32:21, 2017:05:08:00:33:54,93
YH1->FX0704->XG9, XG9->FX0104->YH2,2017:05:08:00:37:12, 2017:05:08:00:41:05,233
YH1->FX1310->XG9, XG9->FX0104->YH2,2017:05:08:00:41:05, 2017:05:08:00:43:12,127
YH1->FX0703->XG9, XG9->FX0103->YH2,2017:05:08:00:46:16, 2017:05:08:00:49:46,210
YH1->FX1309->XG9, XG9->FX0103->YH2,2017:05:08:00:49:46, 2017:05:08:00:52:22,156
YH1->FX0702->XG9, XG9->FX0901->YH2,2017:05:08:00:52:59, 2017:05:08:00:53:00,1
YH1->FX1308->XG9, XG9->FX0102->YH2,2017:05:08:00:58:25, 2017:05:08:01:01:19,174
YH1->FX0701->XG9, XG9->FX0912->YH2,2017:05:08:01:01:59, 2017:05:08:01:02:32,33
YH1->FX1307->XG9, XG9->FX0101->YH2,2017:05:08:01:07:01, 2017:05:08:01:10:13,192
YH1->FX0712->XG9, XG9->FX0911->YH2,2017:05:08:01:11:01, 2017:05:08:01:12:01,60
YH1->FX1306->XG9, XG9->FX0112->YH2,2017:05:08:01:15:35, 2017:05:08:01:19:05,210
YH1->FX0811->XG9, XG9->FX0112->YH2,2017:05:08:01:19:05, 2017:05:08:01:19:45,40
